state,county,party,total_votes,number,per capita income
New York,NewYork,DEM,377605,1,62498
New York,NewYork,REP,65001,1,62498
Virginia,Arlington,DEM,105344,2,62018
Virginia,Arlington,REP,22318,2,62018
Virginia,FallsChurch,DEM,7146,3,59088
Virginia,FallsChurch,REP,1490,3,59088
California,Marin,DEM,126652,4,56791
California,Marin,REP,24007,4,56791
Virginia,Alexandria,DEM,66240,5,54608
Virginia,Alexandria,REP,14544,5,54608
Colorado,Pitkin,DEM,8989,6,51814
Colorado,Pitkin,REP,2780,6,51814
New Mexico,LosAlamos,DEM,7554,7,51044
New Mexico,LosAlamos,REP,4278,7,51044
Virginia,Fairfax,DEM,419943,8,50532
Virginia,Fairfax,REP,168401,8,50532
Virginia,Fairfax,DEM,9192,8,50532
Virginia,Fairfax,REP,4002,8,50532
Virginia,Fairfax,DEM,419943,26,44345
Virginia,Fairfax,REP,168401,26,44345
Virginia,Fairfax,DEM,9192,26,44345
Virginia,Fairfax,REP,4002,26,44345
New Jersey,Hunterdon,REP,42203,9,50349
New Jersey,Hunterdon,DEM,38658,9,50349
Texas,Borden,REP,395,10,50042
Texas,Borden,DEM,16,10,50042
Maryland,Montgomery,DEM,378957,11,49038
Maryland,Montgomery,REP,93466,11,49038
New Jersey,Morris,DEM,145196,12,48814
New Jersey,Morris,REP,132713,12,48814
Connecticut,Fairfield,DEM,22861,13,48721
Connecticut,Fairfield,REP,12052,13,48721
California,SanFrancisco,DEM,375630,14,48486
California,SanFrancisco,REP,55988,14,48486
Maryland,Howard,DEM,129433,15,48172
Maryland,Howard,REP,48390,15,48172
New York,Westchester,DEM,220963,16,47984
New York,Westchester,REP,126013,16,47984
New Jersey,Somerset,DEM,103875,17,47803
New Jersey,Somerset,REP,67335,17,47803
Massachusetts,Nantucket,DEM,5234,18,47331
Massachusetts,Nantucket,REP,1912,18,47331
Virginia,Loudoun,DEM,138372,19,46565
Virginia,Loudoun,REP,82088,19,46565
Alaska,Alaska,REP,179080,-1,32650.560345737144
Alaska,Alaska,DEM,143037,-1,32650.560345737144
California,SanMateo,DEM,288333,21,45732
California,SanMateo,REP,74756,21,45732
Hawaii,Kalawao,,,22,45515
District of Columbia,DistrictofColumbia,DEM,307265,23,45290
District of Columbia,DistrictofColumbia,REP,18172,23,45290
Virginia,Goochland,REP,9966,24,45039
Virginia,Goochland,DEM,6685,24,45039
Massachusetts,Norfolk,DEM,4037,25,44692
Massachusetts,Norfolk,REP,2548,25,44692
Colorado,Douglas,REP,121270,27,43634
Colorado,Douglas,DEM,104653,27,43634
Wyoming,Teton,DEM,9848,28,43444
Wyoming,Teton,REP,4341,28,43444
New Jersey,Bergen,DEM,259358,29,43347
New Jersey,Bergen,REP,182831,29,43347
Massachusetts,Middlesex,,,30,42861
New Jersey,Monmouth,REP,187393,31,42749
New Jersey,Monmouth,DEM,176558,31,42749
Utah,Summit,DEM,14947,32,42462
Utah,Summit,REP,9928,32,42462
New York,Nassau,DEM,311385,33,42400
New York,Nassau,REP,295871,33,42400
Colorado,Mineral,REP,427,34,42255
Colorado,Mineral,DEM,317,34,42255
Pennsylvania,Chester,DEM,181170,35,42210
Pennsylvania,Chester,REP,127693,35,42210
Wisconsin,Ozaukee,REP,33912,36,42041
Wisconsin,Ozaukee,DEM,26517,36,42041
Colorado,ClearCreek,DEM,3603,37,41716
Colorado,ClearCreek,REP,2753,37,41716
California,SantaClara,DEM,587945,38,41513
California,SantaClara,REP,203648,38,41513
Pennsylvania,Montgomery,DEM,318041,39,41472
Pennsylvania,Montgomery,REP,184698,39,41472
Tennessee,Williamson,REP,86469,40,41292
Tennessee,Williamson,DEM,50161,40,41292
Colorado,SanMiguel,DEM,3923,41,40827
Colorado,SanMiguel,REP,1136,41,40827
Maryland,AnneArundel,DEM,172823,42,40415
Maryland,AnneArundel,REP,127810,42,40415
New York,Putnam,REP,26888,43,40309
New York,Putnam,DEM,20266,43,40309
Rhode Island,Newport,DEM,7866,44,40293
Rhode Island,Newport,REP,2662,44,40293
Ohio,Delaware,REP,65163,45,40189
Ohio,Delaware,DEM,56961,45,40189
Connecticut,Middlesex,,,46,39992
Washington,King,DEM,904823,47,39911
Washington,King,REP,267838,47,39911
Virginia,Fauquier,REP,25106,48,39600
Virginia,Fauquier,DEM,17565,48,39600
Indiana,Hamilton,REP,101587,49,39521
Indiana,Hamilton,DEM,88390,49,39521
Colorado,Eagle,DEM,18588,50,39497
Colorado,Eagle,REP,9891,50,39497
Virginia,James,DEM,25553,51,39133
Virginia,James,REP,23153,51,39133
Rhode Island,Bristol,DEM,6813,52,38893
Rhode Island,Bristol,REP,4595,52,38893
Kansas,Johnson,DEM,177925,53,38827
Kansas,Johnson,REP,151280,53,38827
Virginia,Clarke,REP,5192,54,38748
Virginia,Clarke,DEM,3920,54,38748
North Dakota,Williams,REP,11739,55,38738
North Dakota,Williams,DEM,2169,55,38738
Illinois,DuPage,DEM,279251,56,38570
Illinois,DuPage,REP,192426,56,38570
Virginia,Poquoson,REP,5605,57,38444
Virginia,Poquoson,DEM,2054,57,38444
New Hampshire,Rockingham,,,58,38399
Maryland,Calvert,REP,25346,59,38260
Maryland,Calvert,DEM,22587,59,38260
California,ContraCosta,DEM,407639,60,38219
California,ContraCosta,REP,148623,60,38219
Maryland,QueenAnne's,REP,18741,61,38108
Maryland,QueenAnne's,DEM,10709,61,38108
Colorado,Gilpin,DEM,2222,62,38022
Colorado,Gilpin,REP,1833,62,38022
Maryland,Talbot,DEM,11062,63,38022
Maryland,Talbot,REP,10946,63,38022
Illinois,Lake,DEM,196479,64,38018
Illinois,Lake,REP,120938,64,38018
Colorado,Boulder,DEM,159089,65,38011
Colorado,Boulder,REP,42501,65,38011
North Dakota,Billings,REP,541,66,37972
North Dakota,Billings,DEM,72,66,37972
New Jersey,Sussex,REP,49609,67,37949
New Jersey,Sussex,DEM,33142,67,37949
Texas,Collin,REP,250194,68,37839
Texas,Collin,DEM,227868,68,37839
Washington,SanJuan,DEM,9606,69,37719
Washington,SanJuan,REP,2994,69,37719
Connecticut,Litchfield,DEM,2673,70,37667
Connecticut,Litchfield,REP,2555,70,37667
Wisconsin,Waukesha,REP,159633,71,37577
Wisconsin,Waukesha,DEM,103867,71,37577
Minnesota,Hennepin,DEM,532608,73,37485
Minnesota,Hennepin,REP,205966,73,37485
Indiana,Boone,REP,22351,74,37482
Indiana,Boone,DEM,15244,74,37482
Pennsylvania,Bucks,DEM,201768,75,37466
Pennsylvania,Bucks,REP,184440,75,37466
New Jersey,Mercer,DEM,112845,76,37465
New Jersey,Mercer,REP,47788,76,37465
Minnesota,Carver,REP,34012,77,37457
Minnesota,Carver,DEM,30770,77,37457
Colorado,Broomfield,DEM,29077,78,37442
Colorado,Broomfield,REP,16295,78,37442
Virginia,PrinceWilliam,DEM,142863,79,37401
Virginia,PrinceWilliam,REP,81222,79,37401
Maryland,Charles,DEM,62171,80,37277
Maryland,Charles,REP,25579,80,37277
Virginia,Albemarle,DEM,42466,81,37239
Virginia,Albemarle,REP,20804,81,37239
Rhode Island,Washington,,,84,37023
New York,Suffolk,REP,333617,85,36945
New York,Suffolk,DEM,259463,85,36945
Maryland,Frederick,DEM,75094,86,36917
Maryland,Frederick,REP,62221,86,36917
Florida,St.Johns,REP,110886,87,36836
Florida,St.Johns,DEM,63808,87,36836
New Jersey,Burlington,DEM,145987,88,36835
New Jersey,Burlington,REP,96583,88,36835
Georgia,Fulton,DEM,381144,89,36757
Georgia,Fulton,REP,137240,89,36757
Minnesota,Washington,DEM,89164,90,36706
Minnesota,Washington,REP,73764,90,36706
Virginia,Stafford,DEM,40245,91,36574
Virginia,Stafford,REP,37636,91,36574
Virginia,Rappahannock,REP,2812,92,36505
Virginia,Rappahannock,DEM,2096,92,36505
Michigan,Oakland,DEM,433982,93,36458
Michigan,Oakland,REP,325916,93,36458
Florida,Collier,REP,128936,94,36439
Florida,Collier,DEM,77595,94,36439
Virginia,York,REP,20241,95,36373
Virginia,York,DEM,17683,95,36373
Colorado,Hinsdale,REP,353,96,36365
Colorado,Hinsdale,DEM,255,96,36365
North Dakota,Divide,REP,904,97,36303
North Dakota,Divide,DEM,265,97,36303
Texas,Roberts,REP,529,99,36172
Texas,Roberts,DEM,17,99,36172
South Dakota,Union,REP,5944,100,36167
South Dakota,Union,DEM,2725,100,36167
Maryland,Carroll,REP,60206,101,36153
Maryland,Carroll,DEM,36454,101,36153
Massachusetts,Barnstable,DEM,15685,102,36142
Massachusetts,Barnstable,REP,10824,102,36142
Colorado,Jefferson,DEM,218393,103,36087
Colorado,Jefferson,REP,148414,103,36087
Colorado,Elbert,REP,14027,104,36077
Colorado,Elbert,DEM,4490,104,36077
Maryland,St.Mary's,REP,30822,105,36017
Maryland,St.Mary's,DEM,23137,105,36017
Wyoming,Sublette,REP,3957,106,35944
Wyoming,Sublette,DEM,882,106,35944
Iowa,Dallas,REP,27987,107,35844
Iowa,Dallas,DEM,26879,107,35844
Texas,Kendall,REP,20064,108,35827
Texas,Kendall,DEM,6008,108,35827
California,Alameda,DEM,616180,109,35763
California,Alameda,REP,135925,109,35763
Idaho,Blaine,DEM,8919,110,35524
Idaho,Blaine,REP,4031,110,35524
Minnesota,Scott,REP,45871,111,35467
Minnesota,Scott,DEM,40037,111,35467
Maryland,Harford,REP,80930,112,35425
Maryland,Harford,DEM,63095,112,35425
Georgia,Fayette,REP,36375,113,35344
Georgia,Fayette,DEM,31937,113,35344
Massachusetts,Plymouth,DEM,20780,115,35220
Massachusetts,Plymouth,REP,14936,115,35220
New York,Saratoga,REP,55248,116,35176
New York,Saratoga,DEM,49697,116,35176
Massachusetts,Essex,DEM,1629,117,35167
Massachusetts,Essex,REP,790,117,35167
Missouri,Platte,REP,29251,118,35143
Missouri,Platte,DEM,28111,118,35143
New Jersey,Union,DEM,153667,119,35089
New Jersey,Union,REP,72679,119,35089
California,Placer,REP,116910,120,34886
California,Placer,DEM,102749,120,34886
California,ElDorado,REP,61614,121,34884
California,ElDorado,DEM,51473,121,34884
Colorado,Routt,DEM,10582,122,34873
Colorado,Routt,REP,5925,122,34873
South Dakota,Lincoln,REP,19617,123,34839
South Dakota,Lincoln,DEM,11981,123,34839
Minnesota,Dakota,DEM,145510,124,34828
Minnesota,Dakota,REP,109183,124,34828
California,Napa,DEM,46962,125,34795
California,Napa,REP,19388,125,34795
Missouri,St.Louis,DEM,322802,126,34795
Missouri,St.Louis,REP,196808,126,34795
Missouri,St.Louis,DEM,108385,126,34795
Missouri,St.Louis,REP,21185,126,34795
Missouri,St.Louis,DEM,322802,1538,23048
Missouri,St.Louis,REP,196808,1538,23048
Missouri,St.Louis,DEM,108385,1538,23048
Missouri,St.Louis,REP,21185,1538,23048
Connecticut,Hartford,DEM,28301,127,34698
Connecticut,Hartford,REP,4116,127,34698
Texas,Rockwall,REP,38842,128,34617
Texas,Rockwall,DEM,18149,128,34617
New York,Rockland,REP,63830,129,34591
New York,Rockland,DEM,50926,129,34591
Georgia,Forsyth,REP,85122,130,34582
Georgia,Forsyth,DEM,42203,130,34582
North Carolina,Orange,DEM,63594,131,34465
North Carolina,Orange,REP,20176,131,34465
Ohio,Geauga,REP,33581,132,34455
Ohio,Geauga,DEM,20980,132,34455
Connecticut,Tolland,DEM,5103,133,34392
Connecticut,Tolland,REP,3975,133,34392
New Hampshire,Hillsborough,REP,1722,134,34390
New Hampshire,Hillsborough,DEM,1475,134,34390
Maryland,Baltimore,DEM,229339,135,34374
Maryland,Baltimore,REP,136950,135,34374
Maryland,Baltimore,DEM,201995,135,34374
Maryland,Baltimore,REP,24666,135,34374
Maryland,Baltimore,DEM,229339,1103,24750
Maryland,Baltimore,REP,136950,1103,24750
Maryland,Baltimore,DEM,201995,1103,24750
Maryland,Baltimore,REP,24666,1103,24750
New Jersey,Middlesex,DEM,205718,136,34345
New Jersey,Middlesex,REP,128535,136,34345
Virginia,KingGeorge,REP,8446,138,34234
Virginia,KingGeorge,DEM,5404,138,34234
Nevada,Douglas,REP,21630,140,34123
Nevada,Douglas,DEM,11571,140,34123
Texas,FortBend,DEM,195191,141,34084
Texas,FortBend,REP,157595,141,34084
Minnesota,Olmsted,DEM,49492,142,34073
Minnesota,Olmsted,REP,39692,142,34073
Texas,Loving,REP,60,143,34068
Texas,Loving,DEM,4,143,34068
California,Orange,DEM,811916,144,34057
California,Orange,REP,674231,144,34057
Florida,Martin,REP,61152,145,34057
Florida,Martin,DEM,36878,145,34057
Colorado,Summit,DEM,12620,146,34025
Colorado,Summit,REP,5319,146,34025
Florida,Monroe,REP,25688,147,33974
Florida,Monroe,DEM,21864,147,33974
Texas,Denton,REP,221829,148,33855
Texas,Denton,DEM,188023,148,33855
Wyoming,Campbell,REP,16975,149,33850
Wyoming,Campbell,DEM,1935,149,33850
Rhode Island,Kent,,,150,33814
North Dakota,Mountrail,REP,2824,151,33803
North Dakota,Mountrail,DEM,1256,151,33803
Georgia,Oconee,REP,16595,152,33801
Georgia,Oconee,DEM,8162,152,33801
North Dakota,Dunn,REP,1951,153,33788
North Dakota,Dunn,DEM,342,153,33788
Connecticut,NewLondon,DEM,6912,154,33782
Connecticut,NewLondon,REP,2045,154,33782
Wisconsin,Dane,DEM,260157,155,33712
Wisconsin,Dane,REP,78789,155,33712
Texas,Midland,REP,45463,156,33672
Texas,Midland,DEM,12258,156,33672
Texas,Llano,REP,9996,157,33634
Texas,Llano,DEM,3167,157,33634
New York,Columbia,DEM,19764,158,33613
New York,Columbia,REP,14235,158,33613
New York,Dutchess,REP,59661,159,33594
New York,Dutchess,DEM,57720,159,33594
Kentucky,Oldham,REP,22651,160,33591
Kentucky,Oldham,DEM,14504,160,33591
New Jersey,Warren,REP,32998,161,33555
New Jersey,Warren,DEM,23861,161,33555
Virginia,Hanover,REP,44318,162,33540
Virginia,Hanover,DEM,25307,162,33540
Nevada,Storey,REP,1908,163,33472
Nevada,Storey,DEM,902,163,33472
Massachusetts,Dukes,,,164,33363
North Dakota,Towner,REP,830,165,33357
North Dakota,Towner,DEM,317,165,33357
Alabama,Shelby,REP,79428,166,33313
Alabama,Shelby,DEM,33036,166,33313
Vermont,Chittenden,DEM,473,167,33281
Vermont,Chittenden,REP,343,167,33281
Colorado,Denver,DEM,313292,168,33251
Colorado,Denver,REP,71617,168,33251
Michigan,Washtenaw,DEM,157130,169,33231
Michigan,Washtenaw,REP,56241,169,33231
Texas,Travis,DEM,432062,170,33206
Texas,Travis,REP,159907,170,33206
Pennsylvania,Delaware,DEM,205332,171,33179
Pennsylvania,Delaware,REP,118358,171,33179
Ohio,Warren,REP,85069,172,33172
Ohio,Warren,DEM,45040,172,33172
Mississippi,Madison,REP,26188,173,33170
Mississippi,Madison,DEM,18931,173,33170
North Carolina,Wake,DEM,393254,174,33166
North Carolina,Wake,REP,226149,174,33166
Vermont,GrandIsle,DEM,831,175,33159
Vermont,GrandIsle,REP,538,175,33159
Virginia,Henrico,DEM,116572,176,33115
Virginia,Henrico,REP,63440,176,33115
North Dakota,McKenzie,REP,4482,177,33078
North Dakota,McKenzie,DEM,814,177,33078
Georgia,Cobb,DEM,221846,178,33069
Georgia,Cobb,REP,165459,178,33069
North Dakota,Foster,REP,1362,179,33063
North Dakota,Foster,DEM,373,179,33063
Montana,Madison,REP,4191,180,33062
Montana,Madison,DEM,1771,180,33062
Colorado,Ouray,DEM,2365,181,33015
Colorado,Ouray,REP,1577,181,33015
Texas,Comal,REP,62260,182,32980
Texas,Comal,DEM,24369,182,32980
New Jersey,CapeMay,REP,32770,183,32948
New Jersey,CapeMay,DEM,23583,183,32948
California,Ventura,DEM,249742,184,32930
California,Ventura,REP,160835,184,32930
Texas,Montgomery,REP,193224,185,32911
Texas,Montgomery,DEM,74255,185,32911
North Dakota,Burke,REP,984,186,32908
North Dakota,Burke,DEM,136,186,32908
Maryland,Worcester,REP,18571,187,32887
Maryland,Worcester,DEM,12560,187,32887
Maine,Cumberland,DEM,4074,188,32880
Maine,Cumberland,REP,1800,188,32880
North Dakota,Burleigh,REP,34744,189,32876
North Dakota,Burleigh,DEM,14348,189,32876
Minnesota,Cook,DEM,2496,190,32868
Minnesota,Cook,REP,1203,190,32868
Florida,PalmBeach,DEM,433392,191,32858
Florida,PalmBeach,REP,334642,191,32858
California,Sonoma,DEM,197010,192,32835
California,Sonoma,REP,60355,192,32835
Massachusetts,Suffolk,,,193,32835
Oregon,Clackamas,DEM,139015,194,32781
Oregon,Clackamas,REP,110476,194,32781
Kansas,Greeley,REP,537,195,32650
Kansas,Greeley,DEM,77,195,32650
New Jersey,Hudson,DEM,157349,196,32641
New Jersey,Hudson,REP,53435,196,32641
New Jersey,Gloucester,DEM,86588,197,32600
New Jersey,Gloucester,REP,83312,197,32600
Colorado,Arapahoe,DEM,213673,198,32595
Colorado,Arapahoe,REP,127356,198,32595
Virginia,Chesterfield,DEM,106935,200,32572
Virginia,Chesterfield,REP,93326,200,32572
Connecticut,NewHaven,DEM,35521,201,32523
Connecticut,NewHaven,REP,6146,201,32523
South Carolina,Beaufort,REP,53194,203,32503
South Carolina,Beaufort,DEM,43419,203,32503
Virginia,Botetourt,REP,15102,204,32490
Virginia,Botetourt,DEM,5705,204,32490
North Carolina,Mecklenburg,DEM,378107,205,32482
North Carolina,Mecklenburg,REP,179211,205,32482
Delaware,NewCastle,DEM,195034,206,32406
Delaware,NewCastle,REP,88364,206,32406
California,Nevada,DEM,34959,207,32346
California,Nevada,REP,25864,207,32346
Maryland,PrinceGeorge's,DEM,366037,208,32344
Maryland,PrinceGeorge's,REP,35624,208,32344
Illinois,McHenry,REP,81479,209,32341
Illinois,McHenry,DEM,77208,209,32341
New York,Albany,DEM,73189,210,32328
New York,Albany,REP,45570,210,32328
Florida,Sarasota,REP,148323,211,32313
Florida,Sarasota,DEM,120050,211,32313
New Mexico,SantaFe,DEM,62530,212,32298
New Mexico,SantaFe,REP,18329,212,32298
California,SantaCruz,DEM,112975,213,32295
California,SantaCruz,REP,26565,213,32295
North Dakota,Oliver,REP,918,214,32253
North Dakota,Oliver,DEM,129,214,32253
Wisconsin,St.Croix,REP,32199,215,32220
Wisconsin,St.Croix,DEM,23190,215,32220
New Jersey,Essex,DEM,237981,216,32181
New Jersey,Essex,REP,68038,216,32181
Michigan,Livingston,REP,76982,218,32129
Michigan,Livingston,DEM,48220,218,32129
Virginia,NewKent,REP,9636,219,32068
Virginia,NewKent,DEM,4610,219,32068
North Dakota,Bowman,REP,1395,220,32045
North Dakota,Bowman,DEM,228,220,32045
Montana,Richland,REP,4800,221,32036
Montana,Richland,DEM,875,221,32036
North Dakota,Cavalier,REP,1499,222,32028
North Dakota,Cavalier,DEM,474,222,32028
Wisconsin,Washington,REP,60237,223,32020
Wisconsin,Washington,DEM,26650,223,32020
North Dakota,LaMoure,REP,1645,224,31989
North Dakota,LaMoure,DEM,527,224,31989
North Dakota,Bottineau,REP,2575,225,31969
North Dakota,Bottineau,DEM,821,225,31969
Virginia,VirginiaBeach,DEM,117393,226,31934
Virginia,VirginiaBeach,REP,105087,226,31934
Alabama,Madison,REP,102395,227,31933
Alabama,Madison,DEM,86885,227,31933
New York,Richmond,REP,110094,228,31823
New York,Richmond,DEM,67223,228,31823
Pennsylvania,Cumberland,REP,77212,229,31791
Pennsylvania,Cumberland,DEM,62237,229,31791
Iowa,Dickinson,REP,7438,231,31790
Iowa,Dickinson,DEM,3661,231,31790
Washington,Kitsap,DEM,89928,232,31769
Washington,Kitsap,REP,61326,232,31769
North Dakota,Mercer,REP,3856,233,31767
North Dakota,Mercer,DEM,704,233,31767
Illinois,Monroe,REP,14046,234,31758
Illinois,Monroe,DEM,6489,234,31758
Virginia,Roanoke,REP,34268,235,31728
Virginia,Roanoke,DEM,22261,235,31728
Virginia,Roanoke,DEM,26773,235,31728
Virginia,Roanoke,REP,15607,235,31728
Virginia,Roanoke,REP,34268,1465,23295
Virginia,Roanoke,DEM,22261,1465,23295
Virginia,Roanoke,DEM,26773,1465,23295
Virginia,Roanoke,REP,15607,1465,23295
North Dakota,Barnes,REP,3568,236,31721
North Dakota,Barnes,DEM,1820,236,31721
Kansas,Lane,REP,757,237,31694
Kansas,Lane,DEM,114,237,31694
Colorado,Grand,REP,4883,238,31684
Colorado,Grand,DEM,4709,238,31684
Pennsylvania,Allegheny,DEM,428876,239,31593
Pennsylvania,Allegheny,REP,282170,239,31593
Missouri,St.Charles,REP,128193,241,31586
Missouri,St.Charles,DEM,89346,241,31586
Texas,Terrell,REP,334,242,31578
Texas,Terrell,DEM,119,242,31578
New Hampshire,Carroll,REP,267,243,31558
New Hampshire,Carroll,DEM,266,243,31558
Massachusetts,Worcester,DEM,48030,244,31537
Massachusetts,Worcester,REP,21018,244,31537
Nebraska,Sioux,REP,642,245,31517
Nebraska,Sioux,DEM,72,245,31517
Colorado,Park,REP,6990,246,31504
Colorado,Park,DEM,4903,246,31504
Maryland,Kent,DEM,5329,247,31502
Maryland,Kent,REP,5195,247,31502
North Dakota,Adams,REP,981,248,31502
North Dakota,Adams,DEM,258,248,31502
Georgia,Harris,REP,14319,249,31482
Georgia,Harris,DEM,5457,249,31482
Michigan,Leelanau,DEM,8793,250,31462
Michigan,Leelanau,REP,7915,250,31462
North Dakota,Steele,REP,652,251,31455
North Dakota,Steele,DEM,392,251,31455
Montana,Daniels,REP,799,252,31449
Montana,Daniels,DEM,195,252,31449
North Dakota,Stark,REP,12110,253,31412
North Dakota,Stark,DEM,2499,253,31412
Montana,Sheridan,REP,1403,254,31378
Montana,Sheridan,DEM,574,254,31378
Virginia,Spotsylvania,REP,39506,255,31360
Virginia,Spotsylvania,DEM,34385,255,31360
Washington,Snohomish,DEM,255609,256,31349
Washington,Snohomish,REP,165650,256,31349
Virginia,Mathews,REP,3900,257,31342
Virginia,Mathews,DEM,1824,257,31342
New Hampshire,Merrimack,DEM,8725,258,31310
New Hampshire,Merrimack,REP,7669,258,31310
South Dakota,Miner,REP,787,259,31288
South Dakota,Miner,DEM,320,259,31288
Illinois,Kendall,DEM,31394,260,31276
Illinois,Kendall,REP,28515,260,31276
Virginia,Powhatan,REP,14055,262,31252
Virginia,Powhatan,DEM,5320,262,31252
Illinois,Piatt,REP,6219,263,31190
Illinois,Piatt,DEM,3302,263,31190
North Dakota,Renville,REP,1065,264,31178
North Dakota,Renville,DEM,220,264,31178
North Carolina,Chatham,DEM,26787,265,31175
North Carolina,Chatham,REP,21186,265,31175
Iowa,Grundy,REP,4929,266,31164
Iowa,Grundy,DEM,2206,266,31164
Texas,Glasscock,REP,611,267,31135
Texas,Glasscock,DEM,39,267,31135
Oregon,Washington,DEM,209549,269,31078
Oregon,Washington,REP,98916,269,31078
Colorado,Teller,REP,11241,270,31075
Colorado,Teller,DEM,5278,270,31075
Texas,Williamson,DEM,142457,271,31070
Texas,Williamson,REP,138649,271,31070
North Dakota,McLean,REP,4198,272,30992
North Dakota,McLean,DEM,1230,272,30992
Pennsylvania,Butler,REP,74279,273,30957
Pennsylvania,Butler,DEM,37379,273,30957
Georgia,Columbia,REP,50013,274,30949
Georgia,Columbia,DEM,29236,274,30949
Wyoming,Converse,REP,5917,275,30941
Wyoming,Converse,DEM,861,275,30941
Washington,Island,DEM,29003,276,30941
Washington,Island,REP,22535,276,30941
South Dakota,Stanley,REP,1203,277,30933
South Dakota,Stanley,DEM,421,277,30933
Vermont,Windsor,DEM,1266,278,30932
Vermont,Windsor,REP,537,278,30932
Illinois,Woodford,REP,14590,279,30926
Illinois,Woodford,DEM,5976,279,30926
Texas,Galveston,REP,93306,280,30926
Texas,Galveston,DEM,58247,280,30926
Iowa,Audubon,REP,2295,281,30919
Iowa,Audubon,DEM,1071,281,30919
Virginia,IsleofWight,REP,13707,282,30903
Virginia,IsleofWight,DEM,9399,282,30903
Virginia,Fluvanna,REP,8155,283,30881
Virginia,Fluvanna,DEM,7414,283,30881
Colorado,Larimer,DEM,126117,284,30740
Colorado,Larimer,REP,91488,284,30740
New Hampshire,Grafton,REP,423,285,30738
New Hampshire,Grafton,DEM,345,285,30738
Virginia,Lancaster,REP,3697,286,30737
Virginia,Lancaster,DEM,3368,286,30737
Ohio,Medina,REP,63451,287,30707
Ohio,Medina,DEM,39326,287,30707
Texas,Parker,REP,61584,288,30692
Texas,Parker,DEM,12789,288,30692
California,SanDiego,DEM,960416,289,30668
California,SanDiego,REP,596937,289,30668
Wisconsin,Door,DEM,10044,290,30657
Wisconsin,Door,REP,9752,290,30657
Minnesota,Anoka,REP,104903,291,30647
Minnesota,Anoka,DEM,100892,291,30647
New Jersey,Camden,DEM,161719,292,30592
New Jersey,Camden,REP,79126,292,30592
North Dakota,Slope,REP,380,293,30586
North Dakota,Slope,DEM,44,293,30586
New York,Orange,REP,76218,294,30583
New York,Orange,DEM,61868,294,30583
Florida,IndianRiver,REP,58870,295,30532
Florida,IndianRiver,DEM,37843,295,30532
Virginia,Middlesex,REP,4196,296,30531
Virginia,Middlesex,DEM,2491,296,30531
North Carolina,Dare,REP,13938,297,30529
North Carolina,Dare,DEM,9936,297,30529
North Dakota,Cass,REP,42619,298,30529
North Dakota,Cass,DEM,40311,298,30529
New Hampshire,Belknap,,,299,30518
Wyoming,Sweetwater,REP,12229,300,30517
Wyoming,Sweetwater,DEM,3823,300,30517
New Jersey,Ocean,REP,203613,301,30477
New Jersey,Ocean,DEM,113359,301,30477
Oregon,Multnomah,DEM,366129,302,30475
Oregon,Multnomah,REP,82583,302,30475
Illinois,McLean,DEM,43719,303,30460
Illinois,McLean,REP,40365,303,30460
Iowa,Polk,DEM,146250,304,30442
Iowa,Polk,REP,106800,304,30442
New York,Ulster,DEM,42606,305,30442
New York,Ulster,REP,33580,305,30442
Kansas,Hodgeman,REP,866,306,30440
Kansas,Hodgeman,DEM,151,306,30440
North Dakota,Nelson,REP,1141,307,30432
North Dakota,Nelson,DEM,586,307,30432
Montana,Jefferson,REP,5345,308,30397
Montana,Jefferson,DEM,2625,308,30397
Illinois,Will,DEM,182957,309,30377
Illinois,Will,REP,154351,309,30377
Louisiana,St.Tammany,REP,99666,310,30363
Louisiana,St.Tammany,DEM,37746,310,30363
Hawaii,Honolulu,DEM,238869,311,30361
Hawaii,Honolulu,REP,136259,311,30361
California,SantaBarbara,DEM,126419,312,30352
California,SantaBarbara,REP,63583,312,30352
New York,Warren,REP,15200,313,30351
New York,Warren,DEM,11811,313,30351
South Dakota,Hughes,REP,5522,314,30284
South Dakota,Hughes,DEM,2953,314,30284
Kansas,Ness,REP,1315,315,30223
Kansas,Ness,DEM,147,315,30223
South Dakota,Sully,REP,726,316,30218
South Dakota,Sully,DEM,185,316,30218
Nebraska,Sarpy,REP,51518,317,30189
Nebraska,Sarpy,DEM,41029,317,30189
Illinois,Cook,DEM,1682455,318,30183
Illinois,Cook,REP,546789,318,30183
Illinois,Cook,DEM,749899,318,30183
Illinois,Cook,REP,367511,318,30183
South Carolina,Charleston,DEM,121485,319,30158
South Carolina,Charleston,REP,93297,319,30158
Colorado,LaPlata,DEM,20548,320,30151
Colorado,LaPlata,REP,14233,320,30151
Texas,Chambers,REP,17343,321,30140
Texas,Chambers,DEM,3997,321,30140
Texas,Gillespie,REP,12495,322,30117
Texas,Gillespie,DEM,3163,322,30117
Nebraska,Thomas,REP,377,323,30116
Nebraska,Thomas,DEM,45,323,30116
Virginia,Frederick,REP,30755,324,30112
Virginia,Frederick,DEM,17200,324,30112
Texas,Wheeler,REP,2158,325,30097
Texas,Wheeler,DEM,168,325,30097
Illinois,Kane,DEM,130143,326,30082
Illinois,Kane,REP,96771,326,30082
Texas,Hood,REP,26487,327,30046
Texas,Hood,DEM,5641,327,30046
Ohio,Greene,REP,50937,328,30040
Ohio,Greene,DEM,34023,328,30040
Nebraska,Saunders,REP,9108,329,30039
