state,county,state_id,county_id,DEM_votes,REP_votes,normalized_election_outcome,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
Alabama,Houston,1.0,69.0,32384.0,12738.0,0.7176986835689907,104108,49905,54203,3.2,67.2,26.5,0.3,0.8,0.0,78486,42803,24781,18.5,29.5,31.1,18.6,25.7,10.2,14.3,89.2,6.9,0.1,0.7,0.8,2.3,21.3,44108,81.9,12.1,5.8,0.2,7.6
Alabama,Chilton,1.0,21.0,16052.0,3056.0,0.8400669876491522,43805,21554,22251,7.7,80.4,9.5,0.4,0.4,0.0,31776,43501,23368,19.4,27.8,25.3,14.5,23.7,15.5,21.0,83.2,12.6,0.1,0.6,1.8,1.7,32.5,17675,81.1,14.0,4.5,0.4,6.7
Alabama,Mobile,1.0,97.0,100605.0,78754.0,0.5609141442581638,414328,197968,216360,2.8,57.5,35.2,0.6,1.9,0.0,309967,45802,24347,19.3,29.3,32.3,17.7,25.5,9.9,14.7,86.1,7.4,0.5,1.1,0.8,4.1,24.8,173195,82.0,13.1,4.6,0.2,7.5
Alabama,Montgomery,1.0,101.0,33122.0,64065.0,0.3408068980419192,227120,107470,119650,3.4,35.2,57.1,0.1,2.4,0.0,167305,46545,26712,20.8,32.1,36.8,18.7,24.5,5.6,14.4,84.8,9.0,0.7,1.4,0.7,3.4,20.3,100874,73.7,21.8,4.4,0.1,7.6
Alabama,Marion,1.0,93.0,12190.0,1457.0,0.8932366087784861,30058,14880,15178,2.5,91.9,3.2,0.4,0.3,0.0,23525,35719,21835,17.6,24.1,25.6,16.4,23.7,11.6,22.8,85.3,10.1,0.0,0.5,1.6,2.4,23.2,11899,77.6,15.8,6.2,0.4,5.5
Alabama,Calhoun,1.0,15.0,34964.0,15118.0,0.6981350585040533,115527,55593,59934,3.6,72.7,20.4,0.2,1.0,0.0,88383,43686,23638,18.6,26.6,29.0,17.5,23.7,10.4,19.4,85.0,9.2,0.2,1.3,1.1,3.2,24.8,47392,74.9,19.9,5.1,0.1,10.1
Alabama,Winston,1.0,133.0,10187.0,974.0,0.912731834065048,23968,11850,12118,3.0,94.1,0.5,0.3,0.3,0.0,18713,35362,20580,18.7,29.2,23.3,15.1,22.1,12.2,27.2,82.6,12.5,0.0,0.7,1.8,2.3,27.8,8902,75.8,14.5,9.6,0.1,9.4
Alabama,Randolph,1.0,111.0,8548.0,2203.0,0.7950888289461445,22530,10998,11532,3.0,75.3,19.4,0.2,0.2,0.2,17343,39485,20983,18.7,29.7,23.4,13.4,21.1,12.8,29.3,85.5,9.1,0.1,0.4,1.0,4.0,26.3,8565,79.4,12.1,8.3,0.1,5.8
Alabama,St. Clair,1.0,115.0,36119.0,7698.0,0.8243147636761987,86937,43469,43468,2.3,86.2,9.3,0.2,0.8,0.0,66069,53483,24686,13.7,17.0,28.9,15.7,25.7,12.4,17.2,86.5,8.6,0.1,0.6,1.3,2.9,29.7,38522,83.2,11.1,5.5,0.2,5.8
Alabama,Pike,1.0,109.0,8020.0,5613.0,0.5882784420156972,33287,15897,17390,0.8,56.4,37.9,0.6,2.2,0.0,25869,35684,20808,26.3,34.4,31.5,16.2,24.4,8.9,18.9,84.6,7.9,0.0,2.2,0.8,4.6,20.4,14352,76.1,18.2,5.6,0.2,8.7
Alabama,Elmore,1.0,51.0,30089.0,10304.0,0.7449062956452851,80989,39357,41632,2.9,73.4,21.2,0.3,0.6,0.0,61966,54981,26251,13.5,20.4,34.8,13.2,26.3,11.0,14.7,86.2,10.2,0.1,0.6,0.6,2.2,28.0,33054,72.9,21.4,5.6,0.1,7.3
Alabama,Colbert,1.0,33.0,17311.0,7057.0,0.7103988837820092,54435,26143,28292,2.4,78.8,15.9,0.7,0.5,0.0,42195,45477,23675,16.8,24.1,27.1,15.4,26.0,11.2,20.3,89.1,7.3,0.1,0.7,0.8,2.0,23.1,22180,78.1,16.1,5.5,0.3,6.9
Alabama,Talladega,1.0,121.0,22210.0,13092.0,0.6291428247691349,80888,39140,41748,2.2,63.1,32.1,0.3,0.6,0.0,62314,39219,21382,19.3,28.8,28.6,16.3,22.2,10.4,22.5,83.7,10.3,0.5,1.6,1.2,2.6,24.8,30937,79.0,15.9,4.9,0.3,10.0
Alabama,Crenshaw,1.0,41.0,4864.0,1700.0,0.7410115783059108,13866,6786,7080,1.8,71.2,23.1,0.8,1.4,0.0,10551,38937,21580,17.6,22.5,26.4,13.1,24.1,13.2,23.3,81.2,12.2,0.1,1.7,0.8,4.0,28.6,5700,73.0,19.1,7.8,0.2,6.4
Alabama,Butler,1.0,13.0,5448.0,3953.0,0.579512817785342,20126,9416,10710,0.3,52.2,44.7,0.1,1.1,0.0,15459,36326,19004,24.4,34.8,26.9,17.3,18.5,11.6,25.7,83.6,12.6,0.0,0.9,0.9,2.0,23.2,7727,79.1,15.3,5.3,0.3,7.6
