state,state_id,DEM_votes,REP_votes,normalized_election_outcome,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Income,Poverty,ChildPoverty,Unemployment
Wyoming,56,73491.0,193559.0,0.2696845407504008,583200,298301,284899,9.718460390946502,84.30243792866942,0.989221879286694,2.0439684499314126,0.8436575788751715,0.066465877914952,31213.71537037037,60828,11.178200445816188,12.60793021262003,4.734683641975308
West Virginia,54,235657.0,544826.0,0.30115002292701204,1836843,907621,929222,1.477565910641247,92.26641759802008,3.5134236840056547,0.17090997978596972,0.754654589423266,0.020221597599794867,24774.033984940466,42573,17.79908429844031,24.562213754795597,7.310870880091549
Idaho,16,287031.0,554128.0,0.3316053586114237,1657375,830627,826748,12.203474711516709,82.53425899389094,0.6330741081529527,1.0790330492495663,1.3321123463307942,0.11954886492193982,25471.297106569124,51583,14.522344731880233,17.839986846670186,5.386717550343162
Oklahoma,40,503890.0,1020280.0,0.3327061856782581,3896251,1930615,1965636,10.128892363453994,66.44227995064999,7.150630285369194,7.10587824039057,2.044448060456064,0.14796646827937937,26460.557439702934,50762,16.231372183157603,22.43556326324973,5.7492337120991435
North Dakota,38,114901.0,235585.0,0.3337976407710815,745475,382121,363354,3.333944263724469,85.6904886146417,2.288783795566585,5.195080049632784,1.346852007109561,0.025907911063415945,34256.18259230692,58767,11.035535732251251,11.836304101411855,2.7694099735068254
Arkansas,5,419258.0,758183.0,0.3572421025295413,2977944,1461651,1516293,7.1664897325134405,73.00749228326661,15.35778453187837,0.5728042904769197,1.4123282036196785,0.2276132794975325,24426.218718350647,43504,18.178289047745693,25.837504298267532,6.361165723734226
Kentucky,21,772223.0,1326347.0,0.3632874439660253,4424376,2179025,2245351,3.44223187631431,85.07876324254542,7.867668525459862,0.1790277318202612,1.3460712651908424,0.03005829522626468,25888.479804835755,49508,18.312652202254057,24.874912643048415,6.980947392355442
South Dakota,46,147642.0,260746.0,0.3675462280492466,841153,423653,417500,3.5055479799751055,84.01542549334071,1.6871879432160382,6.9140416785055745,1.383055401336024,0.03529595685921587,29090.95221558979,53807,13.271956707043781,16.679114382282417,3.708206592617514
Alabama,1,843473.0,1434159.0,0.37054177188082144,4850771,2350806,2499965,4.090537999010878,65.9258991405696,26.394895512486574,0.4680747658465013,1.2716478885521496,0.019179961288628138,25746.341350065795,46545,17.974093314238093,25.94420363278332,7.5520983571477585
Tennessee,47,1139376.0,1849820.0,0.3860966686824864,6597381,3217073,3380308,5.159686002672878,74.25938097254051,16.67089535984052,0.2221148968052626,1.6613776284862134,0.04450394785445923,27276.78771985429,48415,16.689894247429393,24.43192384978221,6.669850702877401
Utah,49,554028.0,848863.0,0.39396314638098345,2993941,1506614,1487327,13.672020290313,79.01614317049001,1.0664744562434598,0.9346361200838627,2.2476900847411487,0.8797889470767795,26906.687780086515,67922,11.012935625651943,12.70230662528086,4.3856887293370175
Nebraska,31,371918.0,553781.0,0.40320993195392124,1893921,943547,950374,10.453757099688952,79.82754048347311,4.598834059076382,0.6746601362992438,2.207345607340538,0.06190374360915794,29866.15961911822,55875,11.999533190666348,15.573928215590827,3.792163875895564
Louisiana,22,855396.0,1249398.0,0.4069785369835631,4648531,2273548,2374983,4.981065760344506,58.94134874006435,32.02509521825283,0.5238497280108492,1.7259735602494637,0.01309473896162035,26228.488275758515,47650,19.63456642539332,27.920395905717303,7.250913912373607
Mississippi,28,491224.0,731049.0,0.41225390656090666,2986220,1448717,1537503,2.9513864685120303,57.00562004808756,37.46049437080993,0.4172177535479637,0.9631510739329321,0.010080000803691624,22499.699486307105,41011,21.55362361112041,30.130170416111344,8.97263312816872
Montana,30,244783.0,343590.0,0.4145547481167784,1029862,517860,512002,3.54551124325395,86.6120153962376,0.40648669433380397,6.2300189734158575,0.7037052537136042,0.045767005676488684,28706.007227181894,51136,14.348854603820708,17.132415119695654,4.904834531228453
